S.No.,NameIndianParty,NameJV/WOS,IfJV/WOS,OversCountry,MajorActivity,Equity,Loan,GurIssu,Total
456,BOMBAY BURMA TRADING CORPORATION LTD.,LEILA LANDS SENDERIAN BERHAD ,WOS,MALAYSIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,66.3,66.3
457,CREDIT ANALYSIS & RESEARCH LIMITED,CARE RATINGS (AFRICA) PRIVATE LIMITED,JV,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.058,0,0,0.058
458,EDELWEISS SECURITIES LIMITED,EDELWEISS FINANCIAL SERVICES (UK) LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1162,0,0,0.1162
459,KEC INTERNATIONAL LTD.,AL SHARIF GROUP AND KEC LTD. COMPANY,JV,SAUDI ARABIA,CONSTRUCTION,0,10,0,10
460,KNOT SOLUTIONS PRIVATE LIMITED,KNOT SOLUTION PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0953,0,0.0953
461,M/S MAJESCO LIMITED,MAJESCO,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,3.2,3.2
462,PANKAJKUMAR VAGHJIBHAI CHAUDHARI,HAVIX GROUP LLC,JV,UNITED STATES OF AMERICA,MANUFACTURING,0.2175,0,0,0.2175
463,RAMCO SYSTEMS LTD.,RAMCO SYSTEMS PTE . LTD. SINGAPORE,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.2623,0,0.2623
464,RELIANCE JIO INFOCOMM LIMITED,EUROPE INDIA GATEWAY (EIG),JV,UNITED KINGDOM,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",4.9872,0,0,4.9872
465,RESOURCES INTERNATIONAL,DAMODAR FERRO LDA,WOS,MOZAMBIQUE,AGRICULTURE AND MINING,0,0.1,0,0.1
466,SERVIONT GLOBAL SOLUTIONS LIMITED,SERVION GLOBAL SOLUTIONS INC.USA,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,2,2
467,STAMPEDE CAPITAL LIMITED,STAMPEDE FINANCIALS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.08,0,0,0.08
468,THE MALAYALA MANORAMA COMPANY LIMITED,MALAYALA MANORAMA FZ LLC,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.0408,0,0,0.0408
469,VICTORA AUTO PRIVATE LIMITED,VICTORA USA INC,WOS,UNITED STATES OF AMERICA,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.11,0,0.11
